PLOT,ENTRYNO,GID,ENTRY,DESIGNATION,PARENTS,SOURCE,REP,ROW,COLUMN,SEEDING_DATE,FLW,MATURITY,PLTHGT,TILLER,MC,Plotyield-H,MISSHILL,Plotyield-C,Plotyield-Adj,LODGING,Ldg-Sticks,GLH,BPH,BLAST,BB1,BB2,HARVESTDATE,REMARKS
348,B1388,2830417,IR10N362,IR 85805-28-2-2-3-2,IR 71700-247-1-1-2/IR 59682-132-1-1-2 (PSB RC 52)//IR 71701-28-1-4,B3365,1,10,51,20130608,86,116,118,19,10.7,3156,2,2750,3277,9,S,5,5,6,1,5,10-Oct,shb
116,A1104,3022709,IR11A106,IR 87468-39-1-3-3,IR00A103/IR 72875-94-3-3-2,A3489,1,7,17,20130608,86,116,122,20,9.8,3121,,3380,3273,,,5,5,0,7,7,09-Oct,shb
496,A1389,2972687,IR11A151,IR 87523-71-3-1-2,IR00A115/IR 72875-94-3-3-2,A3247,1,5,66,20130608,88,118,147,19,11.2,3009,,2742,3107,7,S,7,5,1,1,1,11-Oct,shb
390,A1553,2971765,IR11A192,IR 87464-69-3-2-1,BR 29/JANAKI,A3490,1,9,40,20130608,93,123,148,14,9.1,1749,,2222,1849,7,S,5,7,0,7,5,10-Oct,"Leaf problem,BB"
606,A1553,2971765,IR11A192,IR 87464-69-3-2-1,BR 29/JANAKI,A3490,2,2,45,20130608,91,121,134,21,9.9,2382,,,2496,7,,,,,1,7,17-Oct,"BB, shb"
608,A1390,2971770,IR11A193,IR 87464-106-1-2-3,BR 29/JANAKI,A3491,1,2,47,20130608,94,124,128,21,9,2135,,,2259,9,S,7,9,1,7,5,17-Oct,"BB, ShB"
191,A1105,3022800,IR11A208,IR 87477-83-1-2-1,IR00A107/IR 72875-94-3-3-2,A3248,1,5,8,20130608,83,113,120,17,9.9,2817,,2780,2951,,,5,5,0,7,7,04-Oct,shb
42,A1106,3023474,IR11A255,IR 87514-36-1-3-3,IR 72875-94-3-3-2/IRRI 143,A3492,1,9,25,20130608,94,124,115,16,11.1,2465,,2436,2548,7,,3,5,3,1,1,11-Oct,
506,A1554,3022919,IR11A279,IR 87527-1-3-1-3,IR04A427/BR 29,A3493,1,5,56,20130608,89,119,138,16,12,2156,3,3433,2206,5,S,3,9,2,1,5,14-Oct,"shb, yellowing of leaves"
596,A1554,3022919,IR11A279,IR 87527-1-3-1-3,IR04A427/BR 29,A3493,2,2,35,20130608,87,117,119,13,10.5,3241,,,3373,,,,,,1,7,11-Oct,"""orange"" flag leaves"
508,A1555,3022947,IR11A282,IR 87527-119-1-2-4,IR04A427/BR 29,A3494,1,5,54,20130608,97,127,154,18,10.3,2443,,2201,2548,7,,3,5,2,1,5,20-Oct,rainfed-type
610,A1555,3022947,IR11A282,IR 87527-119-1-2-4,IR04A427/BR 29,A3494,2,2,49,20130608,98,128,161,12,11.4,2761,,,2844,7,S,,,,1,5,20-Oct,
566,A1391,3022957,IR11A283,IR 87527-140-3-2-5,IR04A427/BR 29,A3249,1,3,62,20130608,95,125,141,13,11.5,2013,1,2763,2072,9,S,7,9,1,7,7,20-Oct,"Bb,"
373,A1392,3022970,IR11A284,IR 87527-186-2-3-3,IR04A427/BR 29,A3495,1,9,57,20130608,90,120,144,18,11.2,1885,,2692,1946,7,S,7,9,1,7,5,17-Oct,shb
646,A1393,3022972,IR11A285,IR 87527-193-1-2-2,IR04A427/BR 29,A3250,1,1,48,20130608,87,117,148,11,10.1,2750,,,2875,5,,3,7,1,1,5,17-Oct,
264,A1107,3023505,IR11A287,IR 87528-13-2-2-1,IR04A427/IR 65450-173-2-1-1-3-3,A3496,1,3,1,20130608,93,123,134,19,10.9,3075,,1984,3186,5,,3,3,1,1,1,14-Oct,
401,A1394,3023526,IR11A292,IR 87528-81-2-2-1,IR04A427/IR 65450-173-2-1-1-3-3,A3497,1,8,38,20130608,89,119,120,15,11.6,2916,,3291,2997,7,S,3,3,2,1,5,10-Oct,
368,A1556,2972293,IR11A293,IR 87529-6-1-2-1,IR04A427/IR 69726-116-1-3 (MATATAG 1),A3498,1,9,62,20130608,89,119,133,17,11.3,2888,,2449,2979,9,S,3,5,3,1,5,10-Oct,
543,A1556,2972293,IR11A293,IR 87529-6-1-2-1,IR04A427/IR 69726-116-1-3 (MATATAG 1),A3498,2,4,48,20130608,87,117,125,13,9.8,3503,,2355,3674,5,S,,,,1,5,11-Oct,
526,A1395,2972296,IR11A294,IR 87529-41-1-2-1,IR04A427/IR 69726-116-1-3 (MATATAG 1),A3499,1,5,36,20130608,93,123,130,18,11.6,2448,,2871,2516,7,S,3,3,3,1,5,17-Oct,
378,A1557,2972309,IR11A297,IR 87529-120-3-1-2,IR04A427/IR 69726-116-1-3 (MATATAG 1),A3500,1,9,52,20130608,95,125,133,19,10.2,1959,,2880,2046,9,S,3,5,3,1,5,17-Oct,shb
435,A1557,2972309,IR11A297,IR 87529-120-3-1-2,IR04A427/IR 69726-116-1-3 (MATATAG 1),A3500,2,7,61,20130608,89,119,132,16,9.7,2599,,2311,2729,9,S,,,,1,5,14-Oct,shb
335,A1396,3023555,IR11A303,IR 87530-105-2-3-3,IR04A427/IR 72875-94-3-3-2,A3501,1,10,38,20130608,90,120,115,19,11,2947,,2585,3050,,,5,3,2,1,5,09-Oct,
476,A1558,3023555,IR11A303,IR 87530-105-2-3-3,IR04A427/IR 72875-94-3-3-2,A3501,1,6,47,20130608,92,122,125,16,9.9,2305,,2742,2415,3,,3,7,3,1,1,14-Oct,shb
