Env,Gen,Blk,YLD1
ENV1,IR 103806:144-B RGA,1,7999
ENV1,IR 103806:279-B RGA,1,7999
ENV1,IR 103806-557-B RGA,1,8003
ENV1,IR12N105,1,8004
ENV1,IR 97233-70-1-3,1,8006
ENV1,IR06A169,1,8009
ENV1,IR05A235,2,8011
ENV1,IR09N394,1,8014
ENV1,IR 110628-B-B-B-3-3,1,8014
ENV1,IR12A170,1,8016
ENV1,IR 103806-528-B RGA,1,8018
ENV1,IRRI 135,1,8020
ENV1,IR08A111,1,8020
ENV1,IR03A262,1,8025
ENV1,IR10N278,1,8026
ENV1,IR 93685-132-3-1-1-B,1,8026
ENV1,IRRI 115,1,8029
ENV1,IR 110624-B-B-B-1-1,1,8029
ENV1,IR08N159,1,8030
ENV1,IRRI 118,1,8031
ENV1,IR13A333,1,8031
ENV1,IR13A223,1,8034
ENV1,IR09N536,2,8036
ENV1,IR10N208,2,8039
ENV1,IR06N127,1,8041
ENV1,IR 103806:226-B RGA,1,8042
ENV1,IR10N148,1,8043
ENV1,IR10N259,1,8043
ENV1,IR 97304-5-3-3,1,8045
ENV1,IR 110634-B-B-1-1,1,8047
ENV1,IR08N103,1,8053
ENV1,IR09N481,1,8055
ENV1,IR13A144,1,8057
ENV1,IRRI 108,1,8057
ENV1,IR 36,1,8061
ENV1,IRRI 168,6,8061
ENV1,IR10N223,1,8062
ENV1,IR 110630-B-B-B-15-1,1,8063
ENV1,IR 110621-C1-C2-B-B-B-13-1,1,8063
ENV1,IR07N197,2,8064
ENV1,IR 103806:19-B RGA,1,8066
ENV1,IR 103806:161-B RGA,1,8067
ENV1,IR 96748-89-2-3-2,1,8068
ENV1,IR10N260,1,8071
ENV1,IR 8,2,8076
ENV1,IRRI 155,2,8079
ENV1,IRRI 160,2,8080
ENV1,IR09N505,2,8081
ENV1,IR13A278,1,8082
ENV1,IR13A158,1,8091
ENV1,IR12A307,1,8092
ENV1,IR 65,2,8093
ENV1,IR13A120,1,8094
ENV1,IR09A122,1,8094
ENV1,IR12A224,1,8095
ENV1,IR 64,1,8095
ENV1,IR13A377,1,8095
ENV1,IR10N205,1,8096
ENV1,IR13N171,1,8097
ENV1,IR09M109,1,8099
ENV1,IR08N166,1,8100
ENV1,IR09N161,1,8100
ENV1,IR09A102,2,8105
ENV1,IR 36,2,8108
ENV1,IR09N533,2,8110
ENV1,IR 110611-B-B-B-9-1,1,8110
ENV1,IR10N296,1,8111
ENV1,IR 103806:281-B RGA,1,8113
ENV1,IR05N204,2,8115
ENV1,IR 103806:23-B RGA,1,8119
ENV1,IR10A239,2,8120
ENV1,IR 103806-516-B RGA,1,8120
ENV1,IR 103806:17-B RGA,1,8123
ENV1,IR 71700-247-1-1-2,1,8125
ENV1,IR12A246,1,8129
ENV1,IR 102885-29-32,1,8132
ENV1,IR13A436,1,8138
ENV1,IR 96734-109-3-2-3,1,8138
ENV1,IR 110621-C1-C2-B-B-B-189-1,1,8139
ENV1,IR09N520,2,8140
ENV1,IR10N277,1,8142
ENV1,IR 103806-562-B RGA,1,8142
ENV1,IR 103806-504-B RGA,1,8142
ENV1,IR09N507,1,8143
ENV1,IR 110621-C1-C2-B-B-B-7-1,1,8143
ENV1,IR 103806:30-B RGA,1,8143
ENV1,IR08M102,1,8144
ENV1,IR13A283,1,8144
ENV1,IR08N164,1,8144
ENV1,IR09N474,1,8146
ENV1,IR08A172,2,8146
ENV1,IR 103806-508-B RGA,1,8148
ENV1,IR 96847-91-1-2,1,8149
ENV1,IR 24,1,8150
ENV1,IR13N130,1,8156
ENV1,IR13A135,1,8159
ENV1,IR 103806:178-B RGA,1,8163
ENV1,IR09N246,2,8164
ENV1,IR07N187,2,8165
ENV1,IRBB 21,1,8167
ENV1,IR05N419,1,8171
ENV1,IR 58,2,8172
ENV1,IR 93339:49-B-10-14-B-B-B-1,1,8174
ENV1,IR10N302,1,8174
ENV1,IR 103806:140-B RGA,1,8179
ENV1,IR07A137,2,8180
ENV1,IR05N341,1,8181
ENV1,IR 93339:29-B-7-7-B-B-B-34,1,8182
ENV1,IR10N211,1,8183
ENV1,IR 103806:59-B RGA,1,8183
ENV1,IR 110626-B-B-B-3-2,1,8183
ENV1,IR12A197,1,8187
ENV1,IRRI 147,2,8187
ENV1,IR 96756-84-3-3,1,8188
ENV1,IR 103806:2-B RGA,1,8190
ENV1,IR 103806:126-B RGA,1,8194
ENV1,IR09N500,2,8197
ENV1,IR10N305,2,8199
ENV1,IRRI 140,2,8202
ENV1,IR10N186,1,8203
